cid,brand,sentiment,nps,intent,att_respected,att_friendly,att_unique,att_efficient,att_affordable,att_innovative,att_knowledgeable,att_indispensable,att_caring,att_visionary,att_ethical,att_collaborative,att_effective,att_open,att_mission_driven,att_reliable,att_credible,att_quality_driven,revenue,patients,yip,happiness,focus,oi,brand_orientation,practice_area,env
466859105,Acugen Health,4,7,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,2,182,4,5,2,22,2,2,1
466861656,Verity Diagnostics,4,9,4,5,4,5,5,1,5,4,4,4,3,5,4,4,4,5,5,5,5,4,345,18,4,1,30,2,2,1
466862971,Verity Diagnostics,2,5,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,190,11,4,1,28,1,2,1
466864703,Moonshot Clinical,5,9,5,4,1,5,4,2,4,4,3,1,3,3,3,3,3,4,3,2,2,3,216,17,2,1,19,1,1,2
466867885,Verity Diagnostics,4,8,4,3,3,3,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,1,172,5,5,1,19,2,2,2
466869862,Verity Diagnostics,4,10,3,4,4,3,4,3,4,4,2,3,4,4,3,4,3,3,4,4,4,3,254,12,1,2,25,2,2,1
466871066,Moonshot Clinical,2,6,2,2,2,4,2,2,3,3,3,3,2,2,3,3,4,3,3,3,3,3,178,8,5,1,29,2,1,1
466871185,Moonshot Clinical,4,8,4,4,4,4,4,5,5,5,4,5,4,5,5,4,5,3,5,4,3,3,215,11,4,1,20,1,1,2
466871293,Moonshot Clinical,4,6,4,4,1,4,3,3,4,4,3,3,4,4,3,4,3,4,4,4,4,3,145,4,4,1,22,1,1,1
466871489,Moonshot Clinical,4,8,4,4,4,4,5,3,4,5,4,4,5,5,4,5,4,4,5,5,4,2,160,11,2,2,21,1,1,1
466873893,Moonshot Clinical,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,228,9,3,1,24,2,1,1
466874750,Moonshot Clinical,5,9,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,5,4,3,241,10,4,1,31,2,1,1
466875390,Moonshot Clinical,4,6,4,4,4,2,2,3,3,4,2,3,3,4,3,4,3,3,4,4,4,2,167,11,4,2,28,2,1,1
466877050,Verity Diagnostics,4,8,4,4,3,4,4,3,4,4,4,3,3,4,3,4,4,3,4,4,3,3,241,14,2,1,29,2,2,2
466877170,Moonshot Clinical,5,9,5,4,4,5,5,4,5,5,4,4,4,5,4,4,5,5,5,5,5,3,217,10,4,2,30,1,1,1
466878394,Moonshot Clinical,2,8,4,2,3,3,3,3,2,3,1,2,1,3,2,3,3,2,3,3,3,2,184,7,3,1,20,1,1,1
466879018,Moonshot Clinical,4,9,3,4,5,5,5,4,3,4,4,4,5,4,5,5,5,5,4,5,4,3,179,8,2,2,33,2,1,1
466883915,Verity Diagnostics,2,5,3,4,2,2,2,2,3,2,4,2,3,3,3,3,2,2,2,3,3,3,251,12,3,1,23,2,2,1
466885254,Verity Diagnostics,4,8,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3,254,11,3,2,25,2,2,2
466885286,Moonshot Clinical,5,10,5,5,4,4,4,4,5,5,3,4,4,4,4,5,4,4,5,5,5,3,199,9,4,1,26,1,1,1
466885389,Moonshot Clinical,2,5,3,3,3,4,4,2,5,3,2,1,2,3,2,4,3,2,3,4,3,3,178,12,4,2,34,2,1,1
466885487,Moonshot Clinical,4,8,4,4,4,4,4,3,4,5,4,4,5,4,4,4,3,5,2,4,4,2,178,7,5,1,17,1,1,1
466885711,Moonshot Clinical,4,8,5,5,4,4,4,3,5,4,3,4,4,3,4,4,4,3,4,2,2,3,234,17,1,2,17,2,1,1
466886593,Moonshot Clinical,4,7,4,3,2,4,3,1,4,3,1,3,4,3,2,3,3,4,3,3,3,2,183,14,3,1,32,2,1,1
466886886,Moonshot Clinical,5,10,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,3,4,250,15,3,2,19,1,1,1
466887803,Acugen Health,4,8,4,3,3,2,3,2,4,4,3,2,3,2,3,3,3,4,3,4,3,2,168,5,3,2,22,2,2,1
466887856,Verity Diagnostics,4,8,4,4,4,3,5,2,3,4,3,3,3,4,5,5,4,4,5,5,4,2,150,12,3,1,19,2,2,2
466927563,Verity Diagnostics,4,8,4,3,3,4,4,4,4,4,2,3,4,4,4,3,3,4,4,4,4,3,247,10,5,2,23,2,2,1
466985720,Acugen Health,5,10,5,5,5,5,5,2,5,5,1,4,5,5,5,5,5,5,5,5,5,2,160,3,3,1,18,2,2,2
466997266,Moonshot Clinical,2,5,3,3,3,1,4,1,3,4,1,1,2,3,2,3,4,1,3,3,3,4,328,20,3,2,33,2,1,1
467032858,Verity Diagnostics,4,6,3,4,3,3,4,2,4,4,2,3,4,4,4,4,4,3,4,4,4,2,213,8,5,2,14,1,2,1
467033502,Acugen Health,5,8,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,4,5,4,5,3,252,15,2,2,22,2,2,1
467047230,Verity Diagnostics,5,7,4,4,5,3,5,4,4,4,4,5,2,4,4,3,3,3,4,4,4,3,239,8,3,1,23,1,2,2
467082611,Acugen Health,1,3,2,3,2,3,2,2,5,5,2,2,5,3,2,3,3,3,3,3,3,2,182,11,4,1,21,2,2,1
467150583,Acugen Health,4,8,4,4,4,3,4,3,4,5,3,4,4,4,3,5,4,3,4,4,4,2,180,7,2,1,18,1,2,1
467160831,Verity Diagnostics,4,7,3,4,2,4,4,3,4,4,2,3,3,4,3,4,4,5,4,4,4,3,263,7,3,1,18,1,2,1
467181042,Verity Diagnostics,4,7,4,4,4,2,4,3,4,5,3,3,2,3,2,4,5,2,4,4,3,3,206,8,3,1,31,1,2,1
467185645,Verity Diagnostics,5,9,4,4,5,4,4,4,5,5,3,4,4,5,5,4,5,5,4,4,5,3,249,10,3,1,25,2,2,1
467222723,Acugen Health,4,7,3,4,3,4,4,2,4,4,3,3,4,4,3,4,4,3,4,4,4,4,338,23,1,2,32,2,2,3
467479773,Moonshot Clinical,1,5,2,5,4,3,5,4,2,3,4,3,3,3,4,4,4,4,3,4,3,2,178,14,4,1,29,2,1,1
467483452,Moonshot Clinical,4,7,2,3,3,3,3,3,4,4,2,4,3,4,4,3,4,4,4,3,4,3,188,13,2,1,27,2,1,2
467486224,Moonshot Clinical,5,9,5,4,5,5,3,2,5,5,2,3,3,4,2,4,3,3,4,5,4,1,149,4,5,1,20,2,1,1
467488536,Moonshot Clinical,5,9,5,5,4,5,5,4,5,4,4,5,5,4,5,5,5,5,5,4,5,3,183,7,4,2,25,2,1,1
467499777,Moonshot Clinical,4,8,4,4,3,4,4,2,5,4,4,3,4,4,4,4,4,3,4,4,4,2,181,6,4,1,21,2,1,1
467503057,Moonshot Clinical,5,8,5,4,5,4,4,2,4,5,2,5,5,4,4,4,5,4,4,5,4,2,150,8,3,1,20,2,1,1
467503876,Moonshot Clinical,4,9,4,4,3,4,4,2,5,5,3,4,4,3,3,4,4,4,5,4,5,2,167,10,4,2,22,2,1,1
467505186,Moonshot Clinical,5,10,5,5,5,4,5,5,4,5,3,5,5,5,4,5,4,4,5,5,4,2,138,4,4,1,20,2,1,3
467508064,Verity Diagnostics,4,7,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,175,4,2,2,19,2,2,1
467513298,Moonshot Clinical,5,10,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,3,232,13,4,1,27,2,1,3
467513423,Moonshot Clinical,4,7,4,4,4,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,171,11,2,1,29,1,1,1
467515821,Moonshot Clinical,4,8,4,3,2,3,3,2,3,4,2,2,2,3,2,3,2,3,3,2,3,1,157,10,3,2,19,1,1,1
467516043,Moonshot Clinical,4,8,3,4,3,4,3,3,4,4,2,3,4,3,4,4,3,4,4,4,5,2,206,13,2,1,24,2,1,3
467523080,Verity Diagnostics,4,8,4,4,3,3,4,3,3,5,3,3,3,3,4,4,4,4,4,4,4,4,321,34,3,2,30,1,2,1
467524746,Moonshot Clinical,5,9,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,5,5,4,4,3,181,8,4,1,30,2,1,1
467525032,Moonshot Clinical,2,5,3,3,2,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,210,11,2,2,25,1,1,3
467529553,Moonshot Clinical,5,9,5,5,4,5,5,4,5,5,4,4,4,5,5,4,4,4,5,4,5,3,178,6,3,1,26,1,1,1
467530389,Moonshot Clinical,2,7,3,3,2,4,3,2,4,3,1,2,4,2,3,4,2,4,3,3,3,3,229,10,3,1,19,1,1,1
467531532,Moonshot Clinical,2,6,3,3,4,3,4,3,4,4,2,3,3,4,4,4,4,2,4,4,3,2,155,11,4,1,20,2,1,1
467566323,Moonshot Clinical,5,9,5,5,4,5,5,4,5,5,2,4,5,5,4,5,4,5,4,5,5,2,203,10,1,1,29,1,1,1
467599085,Moonshot Clinical,5,9,5,4,4,5,4,3,5,4,3,4,5,4,3,4,5,4,4,4,5,3,237,12,1,1,24,1,1,1
467603213,Moonshot Clinical,5,9,5,4,4,5,4,3,5,4,3,4,5,4,4,5,4,4,5,5,3,3,248,8,4,2,23,1,1,1
467603635,Verity Diagnostics,4,7,3,4,3,3,3,4,3,4,4,4,3,3,3,4,3,3,4,4,4,3,178,8,4,1,29,2,2,1
467604597,Moonshot Clinical,5,8,4,5,5,5,4,5,5,5,3,5,4,5,5,5,4,4,5,3,3,2,167,15,4,2,37,2,1,2
467613406,Moonshot Clinical,5,10,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,2,165,6,5,1,22,2,1,1
467619588,Moonshot Clinical,5,10,4,4,3,5,4,4,5,4,4,3,5,5,3,4,3,4,5,5,5,3,173,6,5,2,26,1,1,1
467655738,Moonshot Clinical,5,8,4,4,4,4,4,5,5,5,3,4,4,5,4,5,4,4,5,4,5,2,151,5,4,2,19,2,1,1
467681857,Moonshot Clinical,4,8,5,4,4,5,4,4,5,4,3,4,5,4,4,5,3,4,4,3,3,4,320,28,3,1,31,2,1,2
467690519,Moonshot Clinical,5,8,5,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,4,3,237,11,2,2,26,1,1,1
467717255,Verity Diagnostics,5,9,5,4,4,3,4,5,3,4,3,4,4,4,3,4,4,4,5,4,4,3,236,15,4,2,20,1,2,1
467727683,Moonshot Clinical,2,6,3,3,2,3,3,2,4,4,2,2,3,3,3,3,3,3,3,3,3,2,149,4,3,1,19,2,1,1
467737486,Moonshot Clinical,5,10,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,156,7,4,1,18,1,1,2
467752132,Moonshot Clinical,5,10,2,5,3,4,3,5,5,5,4,5,5,4,5,4,4,2,5,3,4,2,172,9,4,1,32,1,1,1
467752709,Moonshot Clinical,5,8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,2,177,8,4,2,21,2,1,1
467769891,Moonshot Clinical,4,6,4,4,3,5,3,3,5,4,2,3,5,3,3,3,3,3,3,3,3,3,206,8,3,1,29,2,1,2
467769968,Moonshot Clinical,4,7,3,4,3,3,3,3,4,3,2,2,3,3,4,3,3,3,4,3,4,3,173,7,5,1,32,1,1,1
467770472,Moonshot Clinical,5,10,4,4,5,5,5,4,5,5,3,4,4,5,5,5,4,4,5,5,5,3,200,7,3,1,32,1,1,1
467777660,Moonshot Clinical,2,6,3,3,4,4,3,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,254,10,5,1,18,2,1,1
467885209,Verity Diagnostics,4,7,4,5,5,4,5,3,4,5,2,5,4,5,4,4,5,5,4,4,5,4,289,22,2,2,33,2,2,1
467895174,Moonshot Clinical,4,9,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,183,10,3,1,30,2,1,3
467895496,Moonshot Clinical,5,9,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,4,5,2,152,8,1,2,22,1,1,1
467898575,Moonshot Clinical,5,9,4,4,4,4,5,4,5,4,3,2,4,3,3,5,3,4,5,4,4,3,245,13,5,1,20,1,1,2
467936482,Verity Diagnostics,5,10,5,5,4,4,5,3,4,5,5,5,5,5,4,5,4,5,4,4,4,4,322,19,2,2,31,1,2,2
